Tarih,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Şirket,Write Off,Research And Development,Impairment Of Capital Assets
2025-03-31,-8608695.652174,0.043478,844000000.0,-198000000.0,-198000000.0,-44000000.0,565000000.0,4558000000.0,646000000.0,81000000.0,278000000.0,127000000.0,390000000.0,145391304.347826,-44000000.0,5027000000.0,98000000.0,-76000000.0,1379944530.0,1379944530.0,-0.03,-0.03,-44000000.0,-44000000.0,0.0,-44000000.0,,-44000000.0,-44000000.0,-2000000.0,-46000000.0,13000000.0,6000000.0,-6000000.0,,278000000.0,-15000000.0,127000000.0,390000000.0,-140000000.0,469000000.0,7000000.0,21000000.0,21000000.0,351000000.0,298000000.0,53000000.0,6000000.0,329000000.0,4558000000.0,4887000000.0,4887000000.0,THYAO,,,
2024-12-31,31742980.561555,0.230022,1561000000.0,138000000.0,138000000.0,712000000.0,574000000.0,4722000000.0,1699000000.0,1125000000.0,368000000.0,199000000.0,518000000.0,605742980.561555,712000000.0,4986000000.0,151000000.0,824000000.0,,,,,712000000.0,712000000.0,0.0,712000000.0,-13211430.0,713000000.0,713000000.0,213000000.0,926000000.0,9000000.0,2000000.0,-2000000.0,,368000000.0,-49000000.0,199000000.0,518000000.0,623000000.0,264000000.0,17000000.0,20000000.0,20000000.0,357000000.0,296000000.0,61000000.0,14000000.0,887000000.0,4722000000.0,5609000000.0,5609000000.0,THYAO,,,
2024-09-30,-3945722.713864,0.089676,2443000000.0,-44000000.0,-44000000.0,1544000000.0,555000000.0,4810000000.0,2399000000.0,1844000000.0,548000000.0,149000000.0,460000000.0,1584054277.286136,1544000000.0,5354000000.0,98000000.0,1957000000.0,1378571429.0,1378571429.0,1.12,1.12,1544000000.0,1544000000.0,0.0,1544000000.0,1000000.0,1543000000.0,1543000000.0,152000000.0,1695000000.0,10000000.0,-13000000.0,13000000.0,,548000000.0,-237000000.0,149000000.0,460000000.0,1276000000.0,544000000.0,24000000.0,20000000.0,20000000.0,363000000.0,310000000.0,53000000.0,4000000.0,1820000000.0,4810000000.0,6630000000.0,6630000000.0,THYAO,,,
2024-06-30,-53000000.0,0.25,1780000000.0,-212000000.0,-212000000.0,943000000.0,543000000.0,4570000000.0,1568000000.0,1025000000.0,322000000.0,167000000.0,362000000.0,1102000000.0,943000000.0,5108000000.0,123000000.0,591000000.0,1386764706.0,1386764706.0,0.68,0.68,943000000.0,943000000.0,0.0,943000000.0,,943000000.0,943000000.0,-85000000.0,858000000.0,20000000.0,27000000.0,-27000000.0,,322000000.0,-127000000.0,167000000.0,362000000.0,553000000.0,538000000.0,13000000.0,18000000.0,18000000.0,374000000.0,344000000.0,30000000.0,3000000.0,1091000000.0,4570000000.0,5661000000.0,5661000000.0,THYAO,,,
2024-03-31,-6500000.0,0.25,885000000.0,-26000000.0,-26000000.0,226000000.0,531000000.0,4245000000.0,859000000.0,328000000.0,213000000.0,160000000.0,306000000.0,245500000.0,226000000.0,4761000000.0,107000000.0,42000000.0,1379952030.0,1379952030.0,0.16,0.16,226000000.0,226000000.0,0.0,226000000.0,,226000000.0,226000000.0,-58000000.0,168000000.0,10000000.0,20000000.0,-20000000.0,,213000000.0,-67000000.0,160000000.0,306000000.0,8000000.0,516000000.0,20000000.0,19000000.0,19000000.0,332000000.0,302000000.0,30000000.0,3000000.0,524000000.0,4245000000.0,4769000000.0,4769000000.0,THYAO,,,
2023-09-30,,,,,,,,,,,,,,,,,,,1381294964.0,1381294964.0,1.39,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THYAO,,,
2025-03-31,-217488797.631523,0.295127,15983468000.0,-736933000.0,-736933000.0,6487096000.0,3506299000.0,146995509000.0,15246535000.0,11740236000.0,-982252000.0,2537024000.0,1059326000.0,7006540202.368477,6487096000.0,154643751000.0,,7769906000.0,,,,,6487096000.0,6487096000.0,0.0,6487096000.0,,6487096000.0,6487096000.0,2716116000.0,9203212000.0,5374048000.0,1627000.0,-1627000.0,,-982252000.0,-495446000.0,2537024000.0,1059326000.0,6257427000.0,7648242000.0,450191000.0,,,5589359000.0,3432269000.0,2157090000.0,,13905669000.0,146995509000.0,160901178000.0,160901178000.0,FROTO,,1767559000.0,
2024-12-31,-446585000.0,0.25,18678529000.0,-1786340000.0,-1786340000.0,13197975000.0,3239375000.0,175989118000.0,16892189000.0,13652814000.0,-2021552000.0,3586311000.0,1730035000.0,14537730000.0,13197975000.0,182941919000.0,,6041907000.0,,,,,13197975000.0,13197975000.0,0.0,13197975000.0,,13197975000.0,13197975000.0,-3131472000.0,10066503000.0,5890550000.0,,,,-2021552000.0,165276000.0,3586311000.0,1730035000.0,7386882000.0,6952801000.0,979778000.0,,,-2877676000.0,1408755000.0,-4286431000.0,,14339683000.0,175989118000.0,190328801000.0,190328801000.0,FROTO,,1604032000.0,
2024-09-30,-41719173.647756,0.145336,16704773000.0,-287053000.0,-287053000.0,8562179000.0,3043736000.0,128301141000.0,16417720000.0,13373984000.0,-1968008000.0,3355801000.0,1163060000.0,8807512826.352243,8562179000.0,134535165000.0,,8054584000.0,350910000.0,350910000.0,24.4,24.4,8562179000.0,8562179000.0,0.0,8562179000.0,,8562179000.0,8562179000.0,1456004000.0,10018183000.0,5362178000.0,,,,-1968008000.0,-224733000.0,3355801000.0,1163060000.0,7193555000.0,6234024000.0,126983000.0,,,5132874000.0,2846721000.0,2286153000.0,,13427579000.0,128301141000.0,141728720000.0,141728720000.0,FROTO,,1224601000.0,
2024-06-30,-182006000.0,0.25,10290378000.0,-728024000.0,-728024000.0,5975514000.0,2321727000.0,96466132000.0,9562354000.0,7240627000.0,-1821173000.0,2424350000.0,414082000.0,6521532000.0,5975514000.0,102162812000.0,,4032460000.0,350910000.0,350910000.0,17.03,17.03,5975514000.0,5975514000.0,0.0,5975514000.0,,5975514000.0,5975514000.0,-1159237000.0,4816277000.0,5796534000.0,,,,-1821173000.0,-189095000.0,2424350000.0,414082000.0,4615717000.0,5696680000.0,531935000.0,,,3790747000.0,2034719000.0,1756028000.0,,10312397000.0,96466132000.0,106778529000.0,106778529000.0,FROTO,,1605367000.0,
